Name,Price,Category
1 Heart-shaped Glass Vase,130,General
2 Heart-shaped Glass Vase,190,General
3 Heart-shaped Glass Vase,220,General
AB001 - Ribbed Vase,180,Ceramics
AB002 - Geo Vase,200,Ceramics
AB003 - Skinny Vase,180,Ceramics
AB004 - Shell(S),80,Ceramics
AB005 - Shell(M),100,Ceramics
AB006 - Tbag (S),80,Ceramics
AB007 - Wavey Rectangular,150,Ceramics
AB008 - Flower Pot (S),150,Ceramics
AB009 - Cube Mug,150,Ceramics
AB010 - Egg Cup,50,Ceramics
AB011 - Salt and Pepper Couple,150,Ceramics
AB012 - Cat Spoon rest,100,Ceramics
AB013 - Toast,100,Ceramics
AB014 - Heart Plate,150,Ceramics
AB015 - Heart Dish,100,Ceramics
AB016 - Grater,100,Ceramics
AB017 - Hand,350,Ceramics
AB018 - Spoon rest,120,Ceramics
AB019 - No handle cup,150,Ceramics
AB020 - Odd bowl,200,Ceramics
AB021 - Rhino,350,Ceramics
AB022 - Elephant,200,Ceramics
AB023 - Rabit,250,Ceramics
AB024 - Rimmless side plate,150,Ceramics
AB025 - Large Country Cup,150,Ceramics
AB026 - Round water Jug (L),250,Ceramics
AB027 - Round water Jug (M),200,Ceramics
AB028 - Round water Jug (S),150,Ceramics
AB029 - 14 cm plate,100,Ceramics
AB030 - Deep dinner plate,250,Ceramics
AB031 - Smal Sushi plate,200,Ceramics
AB032 - Wall heart,200,Ceramics
AB033 - Large Oival bowl,200,Ceramics
AB034 - 23cm Lace plate,200,Ceramics
AB035 - Bread lace,250,Ceramics
AB036 - Small rectangulat platter,180,Ceramics
AB037 - Soup mug,150,Ceramics
AB038 - Breakfast Cup,180,Ceramics
AB039 - Country cup smaller,150,Ceramics
AB040 - Utensil holder,120,Ceramics
Almond / Oat Milk,9,Add-ons
Americano,34,Coffee
Anemone Double Mixed Colours Cut Flower Corms,140,Tubers and Corms
Anemone Single Mixed Colours Cut Flower Corms,129.99,Tubers and Corms
Assorted Fudge turndowns,6,General
Autumn Fairy Dahlia,95,Dahlia Tubers - Bethany Blooms Grown
B031,70,Ceramics
B032,50,Ceramics
B120,5,Ceramics
B215,120,Ceramics
B235,150,Ceramics
B255,150,Ceramics
Bar One,65,Food
Belle of Barmera Dahlia,148,Dahlia Tubers - Bethany Blooms Grown
Berry - Picasso,65,Food
Boom Boom Bloom,15,Cut flowers
Boom Boom Dahlia,80,Dahlia Tubers - Bethany Blooms Grown
Border Carola Dahlia,85,Dahlia Tubers - Bethany Blooms Grown
BRAAI AND COOKING SALT MINI GRINDER,34.5,General
Bristol Stripe Bloom,25,Cut flowers
Buckets,25,Uncategorised
C-Jay Bloom,15,Cut flowers
C5,300,Ceramics
C6,200,Ceramics
C6 -250,250,Ceramics
C7 - 250,250,Ceramics
C8,200,Ceramics
Café au Lait Dahlia,150,Dahlia Tubers - Bethany Blooms Grown
Café au Lait Royal Dahlia,150,Dahlia Tubers - Bethany Blooms Grown
Café au Late Bloom,25,Cut flowers
Caffè Latte,38,Coffee
