IssueId,PriorityRank,Severity,Status,Surface,Route,UserTask,Issue,Impact,RecommendedFix,Effort
UX-001,1,S4,Fixed,Global navigation,All routes,Use keyboard to navigate page,No skip-to-content link,Keyboard users must tab through full nav every page,Add skip link and focusable main target,Small
UX-002,2,S4,Fixed,Public copy,Home/Products/Workshops,Read loading and error states,Text mojibake artifacts reduced readability,Users may think site is broken,Replace corrupted glyph sequences and normalize punctuation,Small
UX-003,3,S3,Fixed,Footer,All routes,Subscribe to newsletter,Form appeared functional without backend flow,Trust drop and perceived failure,Prevent default submit and show explicit coming-soon status,Small
UX-004,4,S3,Fixed,Subscription checkout,/subscriptions/checkout,Choose payment method,EFT and PayFast language was jargon-heavy,Users may select wrong method or abandon checkout,Simplify option labels and guidance copy,Small
UX-005,5,S3,Fixed,Cart checkout,/cart,Complete payment step,PayFast confirmation and EFT guidance were vague,Users blocked before order placement,Rewrite payment-step helper text in plain language,Small
UX-006,6,S3,Fixed,Subscription success modal,/subscriptions/checkout,Understand what happens next,Success message too dense and hard to scan,Users miss key billing/delivery details,Shorten and structure outcome notes,Small
UX-007,7,S2,Fixed,Public empty states,/ and /products and /workshops,Recover from no-data state,Empty states lacked plain next-step wording,Unclear what to do next,Rewrite empty/error states with clear next action hints,Small
UX-008,8,S2,Fixed,Header mobile menu,All routes,Open/close nav with screen reader,Menu toggle lacked explicit dynamic aria-label,Reduced screen-reader clarity,Add open/close aria-label on toggle button,Small
UX-009,9,S2,Fixed,Admin auth intro,/admin,Understand admin entry point,Admin sign-in copy was generic,First-time admins may not know capabilities,Clarify scope of admin actions in intro text,Small
UX-010,10,S2,Fixed,Route transitions,All routes,Move between pages,Smooth forced scroll on route change can disorient,Motion discomfort and slower orientation,Use immediate scroll reset on route change,Small
UX-011,11,S3,Deferred,Authenticated account runtime,/account,Sign in and manage profile,No runtime walkthrough completed in this pass,Gated regressions may remain undetected,Run customer credential walkthrough on mobile and desktop,Medium
UX-012,12,S3,Deferred,Authenticated subscription pay,/account/subscriptions/pay/:invoiceId,Pay invoice link flow,No runtime walkthrough completed in this pass,Payment blockers may remain undetected,Run signed-link and signed-in fallback tests,Medium
UX-013,13,S3,Deferred,Admin subscription ops runtime,/admin/subscription-ops,Manage billing cycle records,No runtime walkthrough with real admin session in this pass,Operational blockers may remain undetected,Run full admin workflow test with seeded data,Medium
UX-014,14,S3,Deferred,Admin users runtime,/admin/users,Edit user and addresses,No runtime walkthrough completed in this pass,Validation and modal edge cases may remain,Run full create/edit/delete and address-edit walkthrough,Medium
UX-015,15,S2,Deferred,Modal system,Global,Use modal with keyboard,Focus trap and return focus not fully verified runtime,Accessibility regressions can slip to production,Add modal keyboard E2E checks and manual matrix,Medium
UX-016,16,S2,Deferred,Long forms,Account/Admin/Checkout,Complete forms quickly,Inline help consistency varies across forms,Higher completion time and avoidable errors,Define shared help-text and validation pattern,Medium
UX-017,17,S2,Deferred,Public no-data states,Multiple routes,Recover from empty states,Not all no-data states include direct CTA buttons,Users may stall with no action path,Add route-specific CTA buttons in all empty states,Medium
UX-018,18,S2,Deferred,Admin dense pages,/admin/orders and /admin/reports and /admin/pos,Scan critical info quickly,Information density may overload smaller screens,Slower task completion and data-entry mistakes,Add compact mode and section anchors for mobile,Large
UX-019,19,S2,Deferred,Error feedback consistency,Global forms,Correct submission errors,Error copy format inconsistent between pages,Users must re-interpret each form pattern,Standardize concise error message templates,Medium
UX-020,20,S1,Deferred,Microcopy consistency,Global buttons and labels,Interpret CTA intent,CTA verb style varies across routes,Mild cognitive friction,Standardize action-outcome CTA vocabulary,Small
